,국가,날짜,구분,분야,제목,본문1,본문2,본문3,제목_현지공용어,본문1_현지공용어,본문2_현지공용어,본문3_현지공용어,출처,링크
0,키르기스스탄,2021-02-22,KOICA,보건,KOICA 키르기스스탄 WFK 자원봉사자들이 재활센터에서 봉사활동을 펼쳤다.,새로 도착한 키르기스스탄 KOICA WFK 자원봉사자들이 키르기스스탄 적십자 자원봉사자들과 함께 2022년 2월 19일 누르플러스 어린이재활센터에서 봉사활동을 펼쳤다.,"프로그램은 클레이 만들기, 색칠하기, 페이스 페인팅을 통한 놀이 수업으로 이루어졌으며 수업에 사용된 모든 물품은 센터에 기증되었다.",,"Volunteers of WFK, KOICA Kyrgyzstan conduct volunteer work at rehabilitation center","The newly arrived volunteers of WFK, KOICA Representative Office in the Kyrgyz Republic, together with volunteers of the Red Crescent of Kyrgyzstan conducted volunteer work at the Nur+ Children’s Rehabilitation Center on February 19, 2022.","The program consisted of play classes through clay shaping, coloring and face painting, and all items used in the class were donated to the center.",,kabar,http://en.kabar.kg/news/volunteers-of-wfk-koica-together-with-volunteers-of-red-crescent-of-kyrgyzstan-conduct-volunteer-work-at-rehabilitation-center/
1,에티오피아,2022-01-04,국제기구,보건,"에티오피아, 노상배변 종식을 위한 노력","에티오피아는 2019년 '노상배변 종식을 위한 종합 위생(TSEDU) 캠페인'을 시작했으며, 2024년까지 에티오피아에 노상배변을 종식시키는 것을 목표로 하고 있다. 동 캠페인을 통해 정부는 SDGs 6.2를 달성하고자 한다.","정부는 동 캠페인의 활성화를 위해 NGOs의 적극적인 동참을 요청했으며, 에티오피아 연방 보건부와 협력하여 USAID WASH 프로젝트를 진행하여 위생 개선을 위한 노력을 지속하고 있다.","에티오피아 민간 영역 일부에서는 시민들에게 WASH 서비스를 제공하고 있지만, 더 많은 지원이 필요하다고 주장하고 있다. 에티오피아 내 ODF를 100% 종식시키기위해, 단계적이고 목표지향적인 방식의 접근이 필요하다고 판단된다.",Reaching 100 percent sanitation access in Ethiopia,"Ethiopia has set ambitious targets for water, sanitation, and hygiene (WASH). Launched in 2019, the ""Total Sanitation to End Open Defecation and Urination"" (TSEDU) campaign aims to make Ethiopia open defecation free (ODF) by 2024. Ethiopia also wants to meet Sustainable Development Goal (SDG) 6.2 for sanitation","Meeting the sanitation challenge with government-led efforts alone will not be possible, so the government has called for active participation by non-governmental organizations (NGOs) and the private sector. The USAID Transform WASH project, in partnership with the Federal Ministry of Health (FMoH) and others, is helping to firmly establish market-based sanitation in Ethiopia.","Ethiopia's private sector already offers some WASH products and services, but support is required to reach the large population in need. If the policies and actions discussed above are implemented in a targeted and phased manner, we believe they will provide the needed momentum to reach national goals, including 100 percent access to basic sanitation services and ODF status.",IRC Ethiopia,Reaching 100 percent sanitation access in Ethiopia  Can it be done :: IRC (ircwash.org)
2,예멘,2022-01-30,공여국,보건,"사우디아라비아 긴급구호/인도지원 기관 KSrelief, 예멘 어린이 건강 증진을 위해 세계보건기구(WHO)와 800만 달러 계약 체결","압둘라 빈 압둘아지즈 알 라비야 왕실 고문 겸 KSrelief 감독관, WHO 동부지중해지역 담당 이사는 예멘 기본 보건서비스 퀄리티 향상과 영양조절을 통해 5세 미만 아동의 사망률 감소/아동 건강관리 강화를 위한 사업 협정에 서명했다.","이 협정은 사우디아라비아가 Ksrelief를 통해 WHO와 시행하는 인도지원/긴급구호 프로젝트의 일부로, 이는 예멘 보건부문/의료 기본 서비스를 개선을 위한 프로젝트다",Al Rabeeah 박사는 일요일 사우디아라비아 리야드에서 Jean-Marie Safa 예멘 주재 프랑스 대사를 면담했다. 이날 면담에서 사우디-프랑스 양측은 예멘의 인도지원/긴급구호 문제와 관련해 협력 방안을 논의했다으며 주예멘 프랑스 대사는 KSrelief의 높은 전문성과 전 세계의 어려운 사람들을 지원하기 위한 끊임없는 노력을 칭찬했다.,Ksrelief (King Salman Humanitarian Aid and Relief Center) signs $8 million deal with WHO to enhance children's health in Yemen,"Advisor at the Royal Court and Supervisor General of KSrelief Dr. Abdullah Bin Abdulaziz Al Rabeeah and WHO Regional Director for the Eastern Mediterranean Dr. Ahmed Al-Mandhari signed the agreement, under which children healthcare will be enhanced to limit death rates among children under the age of five through enhancing the quality of basic services and nutritional intervention.","This agreement is part of humanitarian and relief projects implemented by the Kingdom of Saudi Arabia, represented by KSrelief, in partnership with WHO to develop the Yemeni health sector and improve medical services presented to all categories of the society.","In Riyadh, on Sunday, Dr. Al Rabeeah met with French Ambassador to Yemen Jean-Marie Safa. During the meeting, the two sides discussed issues relating to humanitarian and relief affairs in Yemen as well as means of cooperation in this regard. The ambassador applauded the high professionalism of KSrelief and its unremitting efforts exerted to support needy people around the world.",saudigazette,https://saudigazette.com.sa/article/616481/SAUDI-ARABIA/KSrelief-signs-$8-million-deal-with-WHO-to-enhance-childrens-health-in-Yemen
3,세네갈,2022-01-30,국제기구,농촌개발,"아프리카개발은행 BAD, 일본 및 세네갈 간 자금 조달 협정 : 고용창출 및 농업 지역 개방을 위해 1,700억 Fcfa지원","지난 목요일, 경쟁력 있는 고용산업 가속화 및 지원 프로젝트 1단계의 농업 및 광업지역 개방 자금조달을 위한 총 1,770억Fcfa의 4차 자금조달협약이 체결됨. 협약국은 아프리카개발은행 BAD와 Invest in Africa, UN Women 및 세네갈임. 동 협약에는 약 5억 8천만Fcfa에 달하는 중소기업을 위한 비즈니스 파트너십 프로젝트에 관련한 주 세네갈 일본 대사관의 지원도 포함됨. ","경쟁력을 갖춘 고용산업 가속화 및 지원 프로그램은 BAD로부터 총 715억Fcfa의 양허성 차관을 통해 세네갈의 회복 경제, 산업화 가속화 및 일자리 창출을 지원하는 것을 목표로 함. 경제계획협력부 장관에 따르면, 동 프로젝트는 우선 가치사슬, 영세, 중소기업의 경쟁력을 가속화하고 민간 투자 및 공공 파트너십을 확대하는데 큰 도움이 될 것이라고 함. ","1,100억Fcfa에 달하는 농업 및 광산지역 개방 프로그램은 북부 지역을 개방하고 광산 생산, 특히 농업 생산물을 시장에 도달할 수 있게 함. 이를 통해 해당 지역은 더욱 경쟁력을 갖출 수 있음. ","Conventions de financement entre la Bad, le Japon et le Sngal : 177 milliards pour l’emploi et le dsenclavement des zones agricoles","Quatre conventions de financement, d’un montant total de 177 milliards de francs Cfa, ont t signes jeudi, pour des financements relatifs aux Programme d’appui et d’acclration industrielle  la comptitivit et  l’emploi et le Programme de dsenclavement des zones agricoles et minires pour la phase Une. Les signataires ont t la Banque africaine de dveloppement (Bad) et Invest in Africa, l’Onu-femme et l’Etat du Sngal. A cela s’ajoute un protocole de don de l’ambassadeur du Japon au Sngal pour le Programme de partenariat d’affaires pour les Pme, d’un montant d’environ 580 mil­lions de francs Cfa.","Le Programme d’appui et d’acclration industrielle  la comptitivit et  l’emploi qui bnficie d’un prt concessionnel de la Bad d’un montant total de 71,5 milliards de francs Cfa, a pour objectif de soutenir la relance conomique, l’acclration de l’industrialisation et la cration d’emplois au Sngal, a expliqu Amadou Hott  la crmonie de signature des conventions de financement. Selon Le ministre de l’Economie, du plan et de la coopration, ce programme va aider  l’acclration de la comptitivit des chaines de valeurs prioritaires, des micros, petites et moyennes entreprises et l’accroissement des investissements privs et partenariats publics-privs.","Le Programme de dsenclavement des zones agricoles et minires, d’un montant de 110 milliards de francs Cfa, va dsenclaver les zones Nord et librer la production minire, celle agricole en particulier, pour tre achemine vers les marchs. Ce qui permettra aux acteurs d’tre encore plus comptitifs. ",Le Quotidien,https://lequotidien.sn/conventions-de-financement-entre-la-bad-le-japon-et-le-senegal-177-milliards-pour-lemploi-et-le-desenclavement-des-zones-agricoles/
4,파라과이,2022-01-31,수원국,교통,"아순시온 시-공공사업통신부, 파라과이 수도 공사 협력 중",아순시온 시장은 1월 31일(월) 공공사업통신부 장관과 도로 기반시설 관련 업무를 공동으로 추진하기 위한 회담을 가짐.,"회의에서 그들은 자치단체 내 여러 도로의 아스팔트 및 정비 수행 위한 기관간 협력 협정 갱신, 그리고 두 기관이 공동으로 진행한 코스타네라 인근 회랑 및 위생하수도 사업에 대해 논함. ","공공사업통신부 장관은 아순시온 시민과 방문객들의 안전과 더 나은 삶의 질 달성이 목표라고 언급했으며, 아순시온 시장은 이러한 관련 공동 작업을 수행하는 것의 중요성과 이익을 강조함. ",The Asuncion Municipality and the Ministry of Public Works and Communications coordinate actions regarding works in the capital of Paraguay,"The Mayor of Asuncin Engineer Oscar Rodrguez met on the morning of this Monday, January 31, with the Minister of Public Works and Communications (MOPC), Arnoldo Wiens, the meeting took place in the office of the Secretary of State and the purpose of the meeting was to promote coordinated work on road infrastructure, joint projects between the two institutions.","At the meeting, they discussed issues of common interest. In the first place, on the renewal of the inter-institutional cooperation agreement in order to carry out the asphalting and repair of several streets in the municipality. The main projects carried out between the two institutions, the Botanical Road Corridor and the sanitary sewer system in the Bella Vista area, near the Costanera Norte, whose Treatment Plant is expected to be completed by the middle of this year, were also analyzed.","Minister Wiens stated that the objective is to coordinate the work in order to achieve security and a better quality of life for the Asuncion people and visitors to the country's capital. The Mayor of Asuncin, Engineer Oscar Rodrguez, was pleased with the result of the meeting. He highlighted the importance of carrying out joint work with this relevant portfolio and the benefits that this alliance will bring about in road works for citizens.",Asuncion en Orden,https://www.asuncion.gov.py/intendencia/comuna-asuncena-y-mopc-coordinan-trabajos-en-torno-a-obras-en-la-capital-del-pais
5,세네갈,2022-01-31,국제기구,보건,"아프리카 제약 산업 : 아프리카개발은행 BAD 1조 7,640억Fcfa 지원","아프리카개발은행 BAD는 아프리카 제약산업을 강화하기 위해 1조 7,640억Fcfa를 투자함. 아프리카개발은행 BAD 총재 Akinwumi Adesina는 14억 인구의 건강을 타 공여국들의 선택에 맡길 수 없다고 말함. ","코로나19 팬데믹으로 국가 제약산업의 중요성이 입증됨. 코로나19라는 긴급상황에 효과적으로 대응하지 못하고, 백신 사용을 위해서 아프리카 국가들은 Covax 프로젝트 수준에서 협력해야 했음. 이러한 관찰을 바탕으로 아프리카개발은행 BAD은 아프리카 제약산업 강화를 위해 1조 7,640억Fcfa에 달하는 상당한 예산을 제공할 것임. ","아프리카개발은행 BAD의 총재는 세네갈 방문 당시 다카르 파스퇴르 연구소를 방문함. 방문 당시 현재 아프리카는 의약품의 95%를 수입하고 있고, 해당 예산을 사용해 아프리카 제약 산업의 기반을 다져야 한다고 말함. 더욱이 아프리카는 코로나19와 관련된 모든 것을 관리할 수 있는 능력, 검사를 진행할 수 있는 능력, 백신에 접근할 수 있고 자체생산할 수 있는 능력이 있어야 한다고 주장함. 백신 유통에 존재하는 불평등은 시정되어야 한다고 주장하면서 다른 국가들에서는 사람들이 처음 3회 접종 후 4차 접종, 5차 접종에 대해 이야기하고 있는 반면 아프리카에서는 1차 접종 수준에 머물고 있다고 강조함. 또한, 백신 및 검사와 관련된 모든 것을 집중적으로 실행하고 있는 아프리카 외부 환경에 항상 의존할 수 없다고 말함. ",Industrie pharmaceutique de l’Afrique : La Bad met 1764 milliards Cfa,"La Banque africaine de dveloppement (Bad) a mis 1764 milliards de francs Cfa pour renforcer l’industrie pharmaceutique africaine. Son prsident a fait l’annonce. Akinwumi Adesina a estim qu’on ne peut pas laisser la sant d’1,4 milliard de personnes  la gnrosit des autres.","La pandmie du Covid-19 a fini de prouver l’importance d’une industrie pharmaceutique nationale. Avec les vaccins, les pays africains ont t obligs de s’unir au sein de Covax pour en disposer. Une solution qui ne rpond pas avec efficacit aux urgences. Fort de ce constat, la Banque africaine de dveloppement (Bad) va apporter une enveloppe consquente pour trouver une solution. La Banque africaine de dveloppement (Bad) a dcid de mettre  la disposition de l’Afrique, la somme de 3 milliards de dollars, soit 1764 milliards de francs Cfa, pour renforcer l’industrie pharmaceutique africaine, a dit Dr Akinwumi Adesina, prsident de la premire institution multilatrale de dveloppement africaine.","En visite au Sngal, Il a expliqu que cette enveloppe devra servir  jeter les bases d’une industrie pharmaceutique en Afrique. Qui, faut-il le rappeler, importe 95% de ses produits pharmaceutiques. L’Afrique doit avoir la capacit de grer tout ce qui est li au Covid-19, en tant capable de faire des tests, d’avoir accs aux vaccins, mais aussi de pouvoir les produire sur place, a dclar le prsident de la Bad au sige de l’Institut Pasteur de Dakar, lors d’une confrence de presse. L’ingalit qui existe dans la distribution des vaccins, doit tre rgle, a soutenu Akinwumi Adesina, insistant sur le fait qu’ailleurs, les gens parlent de quatrime et cinquime dose, aprs avoir pris les trois premires, alors qu’en Afrique, on cherche la premire. Les Africains ne doivent pas tre laisss au plus bas de l’chelle concernant les vaccins. Ils ne peuvent pas aussi dpendre toujours d’un systme qui produit tout ce qui li aux vaccins, tests et qui est concentr hors de l’Afrique.",Le Quotidien,https://lequotidien.sn/financement-industrie-pharmaceutique-de-lafrique-la-bad-met-1764-milliards-cfa/
6,기니비사우,2022-01-31,수원국,기타,"아프리카 개발은행, 기니비사우에 대한 3천만 달러 규모의 재정 패키지 지원 발표","기니비사우는 그들의 핵심 개발 프로젝트를 확장하고 재정 지원 및 역량 개발을 강화할 3천만 달러 규모의 재정 지원을 아프리카 개발은행(AfDB)로부터 받는 데 성공함. 이는 기니비사우의 에너지, 인프라, 교통 분야 확장에 쓰일 예정임. ","Dr Akinwumi A. Adesina 아프리카 개발은행 총재와 Umaro Sissoco Embalo 기니비사우 대통령의 만남이 이뤄진 직후 직후 인프라, 재정, 거버넌스를 위한 재정 위원회가 열렸음. 3천만 달러의 지원 자금 중 1,400만 달러는 기니비사우와 세네갈을 잇는 도로망 개발에, 870만 달러는 예산 지원과 역량 개발에, 700만 달러는 정부 개혁에 사용될 예정임. Umaro Sissoco Embalo 대통령은 ""기니비사우는 오랫동안 정치적 혼란에 의해 개발이 지연돼 왔다. 이제 역사상 처음으로 안정적인 정부를 갖게 됐으니, 경제 개혁에 이 기회를 활용해야 한다. 우리는 어려운 시기에도 아프리카 개발은행이 항상 우리 곁에 있어준 것에 대해 감사하다. 우리는 아프리카 개발은행과 함께 기니비사우 역사의 새로운 장을 열어 갈 준비가 돼 있다""라고 말함.","본 재정 패키지는 농업이나 생산과 같은 핵심 분야의 성장 뿐만 아니라, 새로 나오고 있는 사업들에도 성장할 수 있는 발판을 마련할 것임. 특히, 도로망 확장을 통한 지역 간 연결성 강화는 정부 개혁의 실행과 결부돼 여러 분야에서의 개발프로젝트를 촉진할 것임. 세네갈과 같은 동 권역 국가의 기름, 가스 자원의 개발이 가속화되고 있는 가운데, 지역 연결성의 개선은 기니비사우가 국익을 보전하는데 도움을 줄 것임.",AfDB Announces $30 Million Financial Package for Guinea-Bissau,"Guinea-Bissau has secured a $30 million financial package from the African Development Bank (AfDB), enabling the west African nation to expand key project developments, as well as strengthen budget support and capacity building. The package is critical for the country’s energy, infrastructure and transportation sector expansion. ","Directed towards infrastructure, budget and governance, the financial commitment followed a meeting between H.E. Umaro Sissoco Embal, President of Guinea-Bissau, and AfDB President, Dr Akinwumi A. Adesina, on Friday the 28 January. Of the $30 million package, $14 million will be allocated to the development of road networks between Guinea-Bissau and Senegal, with $8.7 million directed towards budget support and capacity building and $7 million towards government reforms. “For many years, Guinea-Bissau has been affected by political disruptions that have hampered the country’s development. This is the first time we have government stability, and we have to make use of it to accelerate economic transformation. We are grateful that the African Development Bank has always been by our side, even during difficult times. We are ready to work alongside the Bank to lead Guinea-Bissau to a new chapter of its history,” stated H.E. Umaro Sissoco Embal.","The financial package will not only enable the growth of key sectors such as agriculture and production, but create the opportunity for emerging sectors to flourish. Notably, improvements in regional connections through the road network, coupled with implemented government reforms, will likely spark an increase in project development across multiple sectors. While regional countries such as Senegal move to exploit their oil and gas resources, improved regional connectivity will enable Guinea-Bissau to benefit. “I want to assure President Embal of the African Development Bank’s firm commitment to support his vision for the country and the government’s program,” stated Adesina.",Energy Capital & Power,https://energycapitalpower.com/afdb-announces-30-million-financial-package-for-guinea-bissau/
7,세네갈,2022-01-31,국제기구,과학기술혁신,청년 기업가 정신 및 투자를 위한 은행 : 세네갈 아프리카개발은행 제도 첫번째 수혜자 희망,아프리카개발은행 총재 Akinwumi Adesina는 세네갈 금융기관 간의 협력을 강화하기 위해 세네갈을 방문함. ,"세네갈부흥정책 PSE 담당 장관에 따르면, 해당 정책의 실행뿐만 아니라 여성과 젊은이의 기업가 정신 촉진과 농경지 및 농업 가공 구역 개발에 대한 광범위한 지원을 제공함. 세네갈 부흥정책과 관련된 총 11억 9,100만Fcfa은 38개의 프로젝트로 운용될 예정임. ","세네갈부흥정책 PSE 담당 장관은 아프리카개발은행 총재가 TER을 방문하여 해당 시설이 지역사회와 도시교통, 국가경제에 미치는 영향을 이해하였다고 함. 추가로, 아프리카개발은행 총재에게 여성과 청년을 위한 신속한 기업가 정신을 위한 심의회 DER/YF에 대한 지원과 DER이 아프리카에서 통용될 수 있는 모델을 만들어 젊은 아프리카인들이 활용할 수 있는 자금을 크게 늘리겠다는 약속에 감사를 표함. ",Banque pour l’entrepreneuriat et l’investissement des jeunes :  Le Sngal veut tre le premier pays  bnficier de cet instrument de la BAD ,"Le Prsident de la Banque Africaine de dveloppement, Dr Akinwumi Adesina a effectu une visite de travail au Sngal qui avait pour but de renforcer la coopration entre le Sngal et l’institution financire.","Cette dernire, d’aprs le ministre en charge du PSE, a beaucoup accompagn le Sngal dans la mise en œuvre des projets structurants, mais aussi dans la promotion de l’entrepreneuriat des femmes et des jeunes ainsi que le dveloppement des zones de transformation agricole communment appeles agropole. Il a fait savoir que la Bad gre un portefeuille important comprenant 38 oprations pour un engagement total de 1.191 milliards de francs CFA qui concerne les projets du Sngal mergent.","Le ministre charg du PSE a tenu  souligner que le Prsident de la BAD a visit le TER qu’il a magnifi et a apprhend son impact sur la communaut et le secteur du transport urbain et l’conomie nationale. Il a remerci galement le prsident de la BAD, Dr Akinwumi Adesina, pour son soutien  la DER/FJ et son engagement  accrotre considrablement les financements mis  la disposition des jeunes africains en faisant de la DER un modle  dupliquer en Afrique.",Dakaractu.com,"https://www.dakaractu.com/Banque-pour-l-entrepreneuriat-et-l-investissement-des-jeunes-%C2%A0Le-Senegal-veut-etre-le-premier-pays-a-beneficier-de-cet_a214388.html#:~:text=Accueil%20%3E%20T%C3%A9l%C3%A9vision-,Banque%20pour%20l%27entrepreneuriat%20et%20l%27investissement%20des%20jeunes%20%3A,BAD%20%C2%BB%20(Abdou%20Karim%20Fofana)"
8,네팔,2022-02-01,수원국,농촌개발,"바그마티 도, 비료사업 진행 예정","Bagmati 주정부는 도내 3개 비료공장을 설립할 예정. Bagmati 주정부 대변인은 각료회의를 통해 태국 기업과 공동으로 비료산업 개방 절차를 추진하기로 했다고 밝힘. 이와 관련해 태국 기업과 협의중에 있으며, 공장에 상시 전력공급을 위해 네팔전력공사와 함께 논의를 진행할 예정이라고 밝힘.",또한 Bagmati 도 각료회의는 도 산하에 운영될 다년계약의 매개 변수를 정하고 도 민원기록관실을 가동하기로 함.,,Bagmati Province Government To Set Up Fertilizer Industries,"The Bagmati province government is to set up three fertilizer industries at different places in the province. The province Council of Ministers which met on Monday decided to forward the process of opening fertilizer industries in collaboration with a Thai company, Bagmati province government spokesperson and Minister for Internal Affairs and Law, Krishna Sharma Khanal, said. He informed that the provincial government is in consultations with the Thai company in this regard while discussions will also be held with Nepal Electricity Authority (NEA) for ensuring regular power supply to the fertilizer industries.",The province Council of Ministers has also decided to determine the parameter of the multi- year contracts to be operated under the provincial government and to bring into operation the Provincial Civil Service Records Office.,,The Rising Nepal,https://risingnepaldaily.com/business/bagmati-province-government-to-set-up-fertilizer-industries
9,키르기스스탄,2022-02-01,수원국,기타,"한국과 키르기스스탄 국회의장, 수교 30주년 축하 ",탈란트 마미토프 키르기스스탄 국회의장과 박병석 대한민국 국회의장이 양국 수교 30주년을 맞아 축전을 나눴다.,마미토프 의장은 키르기스스탄과 한국이 지나온 길은 양국의 우의와 깊은 공감을 바탕으로 구축된 평화롭고 상호 유익한 협력의 사례라고 말했다.,"박병석 의장은 ""키르기스스탄과 한국의 관계가 국제무대에서의 교류프로그램과 협력은 물론 정치, 경제, 문화 등 모든 분야에서 긴밀하게 발전했다""고 말했다.","Parliament Speakers of Kyrgyzstan, Korea exchange congratulations on 30th anniversary since establishment of diplomatic relations",Kyrgyzstan Parliament Speaker Talant Mamytov and Speaker of National Assembly of the Repubic of Korea Park Byeong-seug exchanged congratulations on occasion of the 30th anniversary since establishment of diplomatic relations between two countries.,"The way passed by Kyrgyzstan and Korea is an example of peaceful and mutually beneficial cooperation built upon feelings of friendship and deep sympathy of two nations, Speaker Mamytov said.","Relations between Kyrgyzstan and Korea closely developed in all spheres, including political, economic, cultural spheres, as well as exchange programs and cooperation at international arena, Speaker Park Byeong-seug said.",akipress,"https://akipress.com/news:667545:Parliament_Speakers_of_Kyrgyzstan,_Korea_exchange_congratulations_on_30th_anniversary_since_establishment_of_diplomatic_relations/"
